web-scraper-order,web-scraper-start-url,播放量,日期_,up主,name_,link,link-href,点赞数,硬币数,收藏数,弹幕数,pinglun数
"1587738542-1123","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=47","19.3万","2020-03-05","无趣的二姐","宗教成为韩国疫情导火索！韩国为什么不能像我们强力隔离？","宗教成为韩国疫情导火索！韩国为什么不能像我们强力隔离？","https://www.bilibili.com/video/BV1rE411s7tH?from=search&seid=1278153562163591620","1.2万","3224","1282","1000","1086"
"1587743994-1451","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=30","32.7万","2020-03-31","中国日报","拒戴口罩攻击防疫人员外籍男已出境","拒戴口罩攻击防疫人员外籍男已出境","https://www.bilibili.com/video/BV1ti4y1b7tP?from=search&seid=14031387445542548896","1.7万","188","576","300","2139"
"1587743538-1411","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=32","30.3万","2020-02-10","腾讯新闻","震撼实拍！洛阳全城消毒：39吨药剂百车齐发","震撼实拍！洛阳全城消毒：39吨药剂百车齐发","https://www.bilibili.com/video/BV18741147ez?from=search&seid=1863880881807467581","4903","136","803","256","981"
"1587743811-1435","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=31","31.7万","2020-03-12","大象视频","意大利巴里市长对着空荡街头落泪","意大利巴里市长对着空荡街头落泪","https://www.bilibili.com/video/BV1fE411V7LC?from=search&seid=7931832587365121279","7415","70","572","500","655"
"1587746658-1669","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=19","52.0万","2020-03-23","YouTube听力精选","美国小哥怒斥市长火爆全美：疫情当前，你却断了人们的电？","美国小哥怒斥市长火爆全美：疫情当前，你却断了人们的电？","https://www.bilibili.com/video/BV127411m74W?from=search&seid=4180539002379228860","1.5万","861","3799","500","1483"
"1587746186-1628","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=21","47.2万","2020-02-24","中国日报","患难时刻 这位老外一点都不见外","患难时刻 这位老外一点都不见外","https://www.bilibili.com/video/BV187411u7nP?from=search&seid=16176515025194647685","3.9万","8322","5127","0","31"
"1587738636-1131","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=46","19.5万","2020-01-26","乔弗斯与玛丽莎","武汉封城第三天；请怜悯那些无家可归的武汉人","武汉封城第三天；请怜悯那些无家可归的武汉人","https://www.bilibili.com/video/BV177411k79t?from=search&seid=7705405146305018186","6292","2086","622","346","808"
"1587748059-1791","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=13","65.2万","2020-03-05","央视网快看","财政部：2月湖北国库只有零星收入入库","财政部：2月湖北国库只有零星收入入库","https://www.bilibili.com/video/BV17E411W7x6?from=search&seid=13252734982944454975","1.6万","2744","1030","432","919"
"1587747325-1727","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=16","57.8万","2020-04-01","小央视频","戴上口罩、举起枪，中东多地一边抗疫一边打仗","戴上口罩、举起枪，中东多地一边抗疫一边打仗","https://www.bilibili.com/video/BV1TA411h7om?from=search&seid=16126204020275372214","2.9万","350","2198","761","1647"
"1587748473-1827","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=11","71.2万","2020-02-11","央视新闻","我不想哭，哭花了护目镜没法做事","我不想哭，哭花了护目镜没法做事","https://www.bilibili.com/video/BV1R7411V7Hk?from=search&seid=10058164653698410445","4.4万","1.7万","7068","1500","1256"
"1587744541-1499","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=28","35.7万","2020-03-09","观察者网","美国医疗电视剧《良医》男主角：剧组的过期口罩都快被偷光了","美国医疗电视剧《良医》男主角：剧组的过期口罩都快被偷光了","https://www.bilibili.com/video/BV1eE411u79i?from=search&seid=15825411202350429674","1.8万","457","817","301","917"
"1587740052-1255","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=40","23.6万","2020-02-29","西部小荒野","休斯顿一只口罩飙升百元！官方称抬价不违法，除非进入灾难状态","休斯顿一只口罩飙升百元！官方称抬价不违法，除非进入灾难状态","https://www.bilibili.com/video/BV1GE411H7BW?from=search&seid=7485136631995903967","3444","27","330","353","1200"
"1587740280-1272","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=39","24.2万","2020-03-18","四川共青团","视频来了！军队成功研制重组新冠疫苗","视频来了！军队成功研制重组新冠疫苗","https://www.bilibili.com/video/BV1R741197RQ?from=search&seid=13251700442346365586","1.5万","1301","1331","500","1485"
"1587739366-1195","https://search.bilibili.com/all?keyword=%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E&order=click&duration=0&tids_1=0&page=43","21.6万","2020-02-20","腾讯新闻","武汉武昌医院院长因感染新冠肺炎殉职 妻子追着灵车痛哭送别","武汉武昌医院院长因感染新冠肺炎殉职 妻子追着灵车痛哭送别","https://www.bilibili.com/video/BV127411A7J1?from=search&seid=550127077071835466","1.1万","1492","951","500","902"
